ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
"수영",,광주,서구,유아수영교실2-홍한별,지적장애,매주 화 16:30~17:30,,20210104~20210315,20210316~20211228
"수영",,경남,창원시의창구,경남장애인 수영연맹 생활체육교실,지체장애,월 수 금 10:30~11:30,,20210101~20211231,20210101~20211231
"수영",,서울,성동구,2021 성동구 발달장애인 수영/볼링/탁구 교실(성동발달장애인평생교육센터),지적장애,목 13:30 ~ 15:30,,20210201~20210430,20210501~20211030
"수영",,충북,충주시,2021 장애인생활체육 아동수중운동교실,지적장애,매주 토 09:00~11:00,,20210126~20210215,20210302~20210930
"수영",,서울,관악구,2021 관악구 시각장애인수중운동교실(실로암시각장애인복지관),시각장애,"매주 화, 목 14:00~15:00",,20210201~20210430,20210401~20210930
"수영",,충북,충주시,2021 장애인생활체육 여성수중운동교실,청각장애,매주 수 09:00~11:00,,20210126~20210215,20210302~20211031
"수영",,충북,청주시,2021 장애인생활체육 수중재활운동(아쿠아로빅)교실,지체장애,매주 월 14:30~15:30,,20210215~20210310,20210401~20211031
"수영",,광주,서구,(기금)2021 지체장애인 수영교실(수영연맹),지체장애,"매주 월,수 14:00-15:30",즐겁고 재미있게 같이 수영 배워요~,20210201~20210228,20210503~20211029
"수영",,울산,남구,2021년 울산 장애 청소년 생존수영교실,지적장애,월요일 16:00~16:50,교실운영단체 : 울산광역시장애인수영연맹,20210101~20211004,20210412~20211004
"수영",,울산,남구,"2021년 울산장애인축구교실(지적,청각)",청각장애,일요일 14:00~15:00,교실운영단체 : 울산광역시장애인축구협회,20210101~20211017,20210404~20211017
"수영",,부산,강서구,지적장애인수영교실(푸른마을),지적장애,금/14:00~16:00,,20210301~20211231,20210301~20211231
"수영",,충남,당진시,장애인 수영교실,기타장애,매주 토 13:00~15:00,,20210301~20211130,20210301~20211130
"수영",,울산,남구,2021년 울산직장장애인 주말반 수영교실,지체장애,토요일 11:00~11:50,교실운영단체 : 울산광역시장애인체육관,20210101~20211030,20210403~20211030
"수영",,광주,서구,(기금)2021 청소년장애인 수영교실(수영연맹),지적장애,"매주 화,목 16;00-17:30",같이 수영 배워봐요~,20210221~20210228,20210504~20211030
"수영",,충남,홍성군,아쿠아짐 생활체육교실,지적장애,매주 목 19:00~21:00,,20210301~20211130,20210301~20211130
